"X67101","X67102","X67103","X67105","X67106","X67107","X67109","X67110","X67111","X67112","X67113","X67114","X67115","X67116","X67117","X67118","X67119","X67120","X67121"
"67101",0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1
"67102",0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
"67103",1,1,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0
"67105",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"67106",1,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1
"67107",0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0
"67109",0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0
"67110",1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
"67111",1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
"67112",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"67113",1,1,1,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1
"67114",0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,0,0,0
"67115",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"67116",0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0
"67117",0,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0
"67118",0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"67119",1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,0,1
"67120",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
"67121",1,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0
