"_","21201","21202","21203","21205","21206","21208","21209","21210","21211","21212","21214","21215","21216","21217","21218","21219","21220"
"21201","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0"
"21202","0","0","1","0","0","1","1","1","1","0","1","0","0","0","0","0","0"
"21203","0","0","0","1","1","0","0","1","0","0","1","0","0","0","0","0","0"
"21205","0","0","1","0","0","0","0","0","0","0","1","0","0","1","1","1","0"
"21206","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"21208","1","0","1","0","1","0","0","1","0","0","0","0","0","0","0","1","0"
"21209","0","1","1","0","1","1","0","1","1","0","1","0","1","0","0","0","0"
"21210","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"21211","0","0","1","0","1","0","0","1","0","0","1","0","0","0","0","0","0"
"21212","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"21214","0","0","1","0","1","0","0","1","0","0","1","0","0","0","0","0","0"
"21215","1","0","1","0","1","1","1","1","0","1","1","0","1","0","0","1","1"
"21216","0","0","1","0","1","0","0","1","1","0","1","1","0","0","0","0","0"
"21217","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0"
"21218",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21219","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"21220","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
