"X57201","X57202","X57203","X57204","X57205","X57206","X57207","X57208","X57209","X57210","X57211","X57212","X57213","X57214","X57215","X57216"
"57201",0,1,1,1,0,0,0,0,1,0,0,1,1,1,0,0
"57202",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57203",1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0
"57204",0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0
"57205",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57206",0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1
"57207",0,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0
"57208",0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,1
"57209",1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
"57210",0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0
"57211",0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
"57212",1,1,1,1,0,0,0,0,1,0,0,1,1,1,0,0
"57213",1,1,1,1,0,0,0,0,1,0,0,1,1,1,0,0
"57214",1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,0
"57215",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57216",0,0,0,1,0,1,1,1,0,1,1,0,0,1,0,0
