"_","66101","66102","66103","66104","66105","66106","66107","66108","66109","66110","66111","66112","66113","66114","66115"
"66101","1","1","1","0","1","0","0","0","0","0","0","0","0","1","0"
"66102","1","1","1","0","1","0","0","0","0","0","0","0","0","0","0"
"66103","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"66104","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"66105","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"66106","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"66107","0","0","0","1","0","0","0","1","1","0","1","0","0","0","0"
"66108","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0"
"66109","0","0","0","0","0","0","1","1","0","1","1","0","0","0","0"
"66110","1","1","1","0","1","0","0","1","1","1","1","0","0","1","0"
"66111","0","0","0","1","0","0","1","0","1","1","0","0","0","0","0"
"66112","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"66113","1","1","1","0","1","1","0","0","0","0","0","0","0","1","0"
"66114","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"66115","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
