"_","71202","71203","71204","71205","71206","71208","71209","71210","71211","71212","71213","71214","71215"
"71202","0","0","0","0","0","0","0","0","1","0","0","0","0"
"71203","0","0","0","0","0","0","0","0","0","0","0","1","0"
"71204","0","0","0","0","0","0","1","1","0","0","0","0","1"
"71205","0","0","0","0","0","0","0","1","0","0","1","0","0"
"71206","0","0","0","1","0","1","0","0","1","0","0","0","0"
"71208","1","0","0","0","0","0","0","0","1","0","0","0","0"
"71209","0","1","0","0","1","1","0","1","1","0","1","0","1"
"71210","0","0","1","0","0","1","1","0","1","0","0","1","1"
"71211","0","0","0","0","0","1","0","1","0","1","1","0","0"
"71212","0","0","1","0","0","0","0","0","0","0","1","0","0"
"71213","0","0","0","0","0","0","0","0","0","0","1","0","0"
"71214","0","1","0","0","0","0","0","0","0","0","0","0","0"
"71215",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
