"X46102","X46104","X46105","X46106","X46107","X46108","X46109","X46110","X46111","X46112","X46113","X46114","X46115","X46116","X46117"
"46102",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"46104",1,0,1,0,0,0,0,0,0,1,0,1,1,1,1
"46105",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"46106",0,0,0,0,0,1,0,0,0,1,1,0,1,0,1
"46107",0,0,0,1,0,1,0,0,1,1,1,0,0,0,0
"46108",1,1,0,1,1,0,1,0,1,1,1,1,1,1,1
"46109",1,0,0,1,0,1,0,0,1,0,1,0,1,0,1
"46110",0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
"46111",0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
"46112",0,0,0,1,1,1,0,0,1,0,1,0,1,1,1
"46113",0,0,0,1,1,1,1,1,1,1,1,1,1,1,0
"46114",0,0,0,1,1,1,0,0,1,1,1,0,1,1,0
"46115",0,1,0,1,1,1,1,1,1,1,1,1,0,1,1
"46116",1,1,0,1,1,1,1,1,1,1,1,1,1,0,1
"46117",1,0,1,1,0,1,1,0,1,1,1,1,0,0,0
