"X12101","X12102","X12103","X12104","X12105","X12106","X12107","X12108","X12109","X12110","X12111","X12112","X12113","X12114","X12115","X12116","X12117","X12118","X12119"
"12101",0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
"12102",1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"12103",1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1
"12104",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
"12105",0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1
"12106",0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0
"12107",1,1,1,0,1,0,0,1,0,1,1,0,1,1,0,1,0,0,1
"12108",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"12109",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12110",1,1,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,1
"12111",1,1,0,0,0,0,1,0,0,1,1,0,1,1,0,1,0,0,0
"12112",0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0
"12113",1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1
"12114",1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
"12115",1,1,0,1,1,1,1,0,1,0,0,1,0,0,1,0,1,1,0
"12116",1,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0
"12117",1,0,0,1,0,1,1,0,1,0,0,1,0,0,1,1,1,1,0
"12118",0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0
"12119",1,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0
