"X55101","X55104","X55105","X55106","X55109","X55110","X55112","X55113","X55114","X55115","X55116","X55119","X55120","X55121","X55122","X55123","X55126","X55127","X55128","X55129"
"55101",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55104",0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1
"55105",0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1
"55106",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"55109",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"55110",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55112",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55113",0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"55114",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"55115",0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1
"55116",0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"55119",0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
"55120",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"55121",0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1
"55122",0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
"55123",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"55126",0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"55127",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55128",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"55129",0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0
