"X14201","X14202","X14203","X14204","X14205","X14206","X14207","X14208","X14209","X14210","X14211","X14212","X14215","X14216","X14217","X14218","X14219","X14220","X14221"
"14201",1,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0
"14202",1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"14203",1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"14204",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14205",1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,0,0
"14206",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"14207",0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"14208",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14209",0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,0,1,1,0
"14210",0,0,1,1,1,0,0,1,1,0,1,1,1,0,1,0,1,1,0
"14211",1,1,1,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1,0
"14212",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14215",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"14216",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"14217",0,0,0,1,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0
"14218",0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0
"14219",0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0
"14220",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14221",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
