"X66101","X66102","X66103","X66104","X66105","X66106","X66107","X66108","X66109","X66110","X66111","X66112","X66113","X66114","X66115"
"66101",1,1,1,0,1,0,0,0,0,0,0,0,1,1,0
"66102",1,0,1,0,1,0,0,1,0,1,1,0,1,1,0
"66103",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"66104",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66105",1,1,1,0,0,0,0,0,0,0,0,0,1,1,0
"66106",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66107",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66108",0,0,0,1,0,0,1,1,1,1,1,0,0,0,0
"66109",0,0,0,1,0,0,1,1,1,1,1,0,0,0,0
"66110",0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
"66111",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"66112",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66113",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66114",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"66115",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
