"_","43101","43102","43103","43104","43106","43107","43108","43109","43110","43111","43112","43113","43114","43116","43117","43118","43119","43120","43121","43123","43124","43125","43126"
"43101","0","0","0","1","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","1","0","0"
"43102","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0"
"43103","1","0","0","0","0","1","0","0","1","1","0","0","1","0","0","0","0","0","1","1","1","0","0"
"43104","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"43106","1","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0","1","0","0","0","0","0","0"
"43107","1","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","1","0","0","0"
"43108",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43109","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0"
"43110","0","1","1","1","0","1","0","0","1","1","0","0","1","0","0","0","1","0","0","0","0","0","0"
"43111","1","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","1","1","0","1","0","0","0"
"43112","1","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","0","0","0"
"43113",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43114",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43116",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43117",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43118",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43119","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"43120","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"43121","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0"
"43123","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"43124","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0"
"43125","0","1","0","0","0","1","0","0","0","1","0","0","1","0","1","0","0","1","0","0","1","0","0"
"43126",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
