"_","14201","14203","14204","14206","14207","14208","14211","14212","14215","14216","14217","14218","14219","14220"
"14201","1","0","1","0","0","0","1","0","0","0","1","0","0","0"
"14203","0","1","0","0","0","0","0","0","0","1","0","0","0","0"
"14204","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"14206","0","0","0","0","1","0","0","0","0","1","0","0","0","0"
"14207","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14208","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"14211","1","0","1","0","0","0","0","0","0","0","1","0","1","0"
"14212","0","0","0","0","0","1","0","0","0","0","1","0","0","0"
"14215","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14216","0","1","1","0","0","0","1","0","0","0","1","0","0","0"
"14217","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"14218","0","0","1","0","0","0","0","0","0","0","0","1","0","0"
"14219","0","0","1","0","0","1","0","0","0","0","0","0","1","0"
"14220","0","0","0","0","0","0","0","1","0","0","0","0","0","1"
