"X55124","X64102","X64105","X64106","X64108","X64109","X64110","X64111","X64112","X64113","X64114","X64119","X64120","X64122","X64123","X64126","X64127","X64128"
"55124",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"64102",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"64105",0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1
"64106",0,0,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0
"64108",1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
"64109",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64110",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"64111",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"64112",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64113",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64114",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"64119",1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"64120",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64122",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64123",0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0
"64126",0,1,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,0
"64127",0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0
"64128",0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
