"_","16101","16102","16103","16104","16105","16106","16107","16108","16109","16110","16111","16112","16113","16114","16115"
"16101","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"16102","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"16103",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16104",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16105","0","1","0","0","1","0","0","1","0","1","1","1","0","0","0"
"16106",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16107","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"16108",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16109","0","1","1","0","0","0","0","0","0","1","0","0","0","0","0"
"16110","0","1","1","0","0","1","1","1","1","0","1","0","0","0","1"
"16111","1","0","0","0","1","1","0","0","0","0","0","1","0","0","0"
"16112","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"16113","0","0","0","0","0","1","1","0","0","0","0","1","0","0","0"
"16114","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"16115","1","0","0","0","0","0","1","0","0","0","1","0","0","0","0"
