"X46201","X46202","X46203","X46204","X46205","X46206","X46207","X46208","X46210","X46211","X46212","X46213","X46214","X46215","X46216","X46217","X46218"
"46201",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
"46202",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"46203",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"46204",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"46205",1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1
"46206",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46207",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46208",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"46210",0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0
"46211",1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0
"46212",1,0,1,1,1,0,1,0,0,1,1,0,0,1,0,0,1
"46213",0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0
"46214",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"46215",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46216",0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0
"46217",0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"46218",1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
